,source,target,type,username,fullname,post_id,likes,count_followed
142,290023231,59791760573,tagged,bernabeu,Bernabéu,3591762855519866449,278360,
144,290023231,1107153288,tagged,oficialrc3,Roberto Carlos,3591762855519866449,278360,
145,11830955,,owner,taylorswift,Taylor Swift,3349397538908293119,10300547,282050761.0
147,11830955,34234869,tagged,bethgarrabrant,Beth Garrabrant,3349397538908293119,10300547,
149,11830955,209372398,tagged,target,Target,3479375800329556267,3855910,
153,20824486,,owner,nba,NBA,3587903262566973191,179247,90047766.0
154,20824486,31358558,tagged,warriors,Golden State Warriors,3587903262566973191,179247,
155,20824486,324599988,tagged,stephencurry30,Wardell Curry,3587903262566973191,179247,
156,173560420,,owner,cristiano,Cristiano Ronaldo,3591258802021820461,4235506,650928756.0
160,217867189,,owner,shakira,Shakira,3590681403533158683,610015,91592441.0
161,217867189,186628729,tagged,nicolasgerardin,Nicolas Gerardin,3590681403533158683,610015,
168,1287006597,,owner,vindiesel,Vin Diesel,3582923559321271075,821514,103156764.0
171,1287006597,38799978,tagged,jordanabrewster,jordanabrewster,3589449137210536059,881750,
174,20788692,,owner,gal_gadot,Gal Gadot,3590056141876856420,77549,108453956.0
175,20788692,388180923,tagged,disneystudios,Walt Disney Studios,3590056141876856420,77549,
179,407964088,,owner,katyperry,KATY PERRY,3580751472021153814,191208,204549002.0
181,407964088,65773493577,tagged,katyperryuniverse,Katy Perry Universe,3580751472021153814,190515,
185,62479994608,,owner,beyonceparfums,BEYONCÉ PARFUMS,3568202215719182069,376929,312404760.0
186,62479994608,247944034,tagged,beyonce,Beyoncé,3568202215719182069,376929,
187,451573056,,owner,nickiminaj,Barbie,3580540767283593625,50500,226091814.0
190,451573056,8323485,tagged,bunjigarlin,Ian Alvarez,3580303063426925620,70347,
191,451573056,42379383,tagged,fayannlyons,Fay-Ann Lyons,3580303063426925620,70347,
196,787132,,owner,natgeo,National Geographic,3591018667860665422,10931,279222133.0
200,186904952,,owner,davidbeckham,David Beckham,3587453226169074847,313924,88033551.0
201,25945306,,owner,badgalriri,badgalriri,3590540810179416091,2883478,149989018.0
206,145821237,,owner,kourtneykardash,Kourtney Kardashian Barker,3583314996669001191,3,219517419.0
207,145821237,14198415,tagged,travisbarker,travisbarker,3583314996669001191,3,
211,6590609,,owner,kevinhart4real,Kevin Hart,3589751048463994978,21235,177515423.0
212,6590609,6080732,tagged,johnburgandee,John “Burgandee” Clausell,3589751048463994978,21235,
213,6590609,6699587,tagged,wayne215,Wayne,3589751048463994978,21235,
214,6590609,18307568,tagged,naimthestar,Na'im Lynn,3589751048463994978,21235,
215,6590609,40793272,tagged,spankhorton,Spank Horton,3589751048463994978,21235,
216,6590609,398286311,tagged,lilmu24,Mustapha.build,3589751048463994978,21235,
217,6590609,1236404583,tagged,joeywells5,Joey Wells,3589751048463994978,21235,
221,6590609,47410578158,tagged,grancoramino,Gran Coramino Tequila,3588568728975997074,16982,
224,18918467,,owner,ellendegeneres,Ellen DeGeneres,3591315309921358372,15090,136724228.0
225,18918467,510721028,tagged,singita_,Singita,3591315309921358372,15090,
226,18918467,1666170898,tagged,mlorentz23,Michael Lorentz,3591315309921358372,15090,
227,18918467,2067895244,tagged,safarious,Safarious | Curious by Nature,3591315309921358372,15090,
229,18918467,1538746444,tagged,daxshepard,Dax Shepard,3590408354570148274,553511,
230,18918467,2952592693,tagged,kristenanniebell,kristen bell,3590408354570148274,553511,
236,18918467,244942700,tagged,adamlevine,Adam Levine,3591122479437432973,6763,
237,7140177628,,owner,jennierubyjane,J,3590254082139307151,806217,86729877.0
238,14455831,,owner,champagnepapi,champagnepapi,3587658227383877076,286737,143206791.0
239,14455831,23931859,tagged,ben_dorado,,3587658227383877076,286737,
245,1436859892,,owner,iamcardib,Cardi B,3585401279372815238,1352295,164051188.0
250,3592384122,,owner,cancaoalimentos,Canção Alimentos,3588119193833808334,277111,229362117.0
251,3592384122,26669533,tagged,neymarjr,Neymar Jr,3588119193833808334,277111,
252,3592384122,1267883017,tagged,neymarpai_,Neymar Pai,3588119193833808334,277111,
253,3592384122,1283275911,tagged,rafatortola,Rafael Tortola,3588119193833808334,277111,
254,3592384122,2133146555,tagged,neymarjrsiteoficial,Neymar Jr Site,3588119193833808334,277111,
255,3592384122,4842070998,tagged,nrsports,NR Sports,3588119193833808334,277111,
256,260375673,,owner,fcbarcelona,FC Barcelona,3591645825177312376,554140,136857178.0
257,260375673,4192705782,tagged,lamineyamal,,3591645825177312376,554140,
260,260375673,963986569,tagged,_rl9,Robert Lewandowski,3591743460630276780,173307,
261,260375673,3732170485,tagged,ireneparedes4,Irene Paredes,3591743460630276780,173307,
262,260375673,3959069925,tagged,pedri,Pedri González,3591743460630276780,173307,
265,4213518589,,owner,k.mbappe,Kylian Mbappé,3413604263329849690,12657029,123591513.0
270,4213518589,290023231,tagged,realmadrid,Real Madrid C.F.,3413604263329849690,12657029,
271,366151541,,owner,bazaarindia,Harper's Bazaar India,3587394944880374149,406650,86249409.0
272,366151541,259925762,tagged,aliaabhatt,Alia Bhatt 💛,3587394944880374149,406650,
273,2044937856,,owner,stargoldofficial,Star Gold,3585131907133905998,419034,94244995.0
274,2044937856,296102572,tagged,shraddhakapoor,Shraddha ✶,3585131907133905998,419034,
